"CONFIRMEDCASECHANGE","DATE","DEATHCHANGE","PROBABLECASECHANGE","R0","R0CIHIGH","R0CILOW","TOTALCONFIRMEDCASES","TOTALDEATHS","TOTALPROBABLECASES"
"1","03-03-2020","0","0","","","","1","0","0"
"0","03-04-2020","0","0","","","","1","0","0"
"0","03-05-2020","0","0","","","","1","0","0"
"0","03-06-2020","0","0","","","","1","0","0"
"0","03-07-2020","0","0","","","","1","0","0"
"0","03-08-2020","0","0","","","","1","0","0"
"0","03-09-2020","0","0","","","","1","0","0"
"0","03-10-2020","0","0","","","","1","0","0"
"0","03-11-2020","0","0","","","","1","0","0"
"0","03-12-2020","0","0","","","","1","0","0"
"1","03-13-2020","0","0","","","","2","0","0"
"1","03-14-2020","0","0","","","","3","0","0"
"0","03-15-2020","0","0","","","","3","0","0"
"3","03-16-2020","0","0","","","","6","0","0"
"3","03-17-2020","0","0","","","","9","0","0"
"7","03-18-2020","0","0","","","","16","0","0"
"5","03-19-2020","0","0","","","","21","0","0"
"9","03-20-2020","0","1","","","","30","0","1"
"8","03-21-2020","0","0","","","","38","0","1"
"18","03-22-2020","0","0","","","","56","0","1"
"15","03-23-2020","1","0","3.99","5.36","2.63","71","1","1"
"22","03-24-2020","0","0","3.57","4.62","2.51","93","1","1"
"23","03-25-2020","0","0","3.18","4.01","2.35","116","1","1"
"32","03-26-2020","0","0","2.92","3.6","2.24","148","1","1"
"36","03-27-2020","0","1","2.74","3.31","2.17","184","1","2"
"30","03-28-2020","0","0","2.57","3.05","2.09","214","1","2"
"21","03-29-2020","0","0","2.33","2.74","1.93","235","1","2"
"40","03-30-2020","0","0","2.15","2.5","1.8","275","1","2"
"43","03-31-2020","0","1","2","2.3","1.69","318","1","3"
"41","04-01-2020","0","0","1.88","2.14","1.61","359","1","3"
"47","04-02-2020","0","0","1.76","2","1.52","406","1","3"
"43","04-03-2020","4","0","1.63","1.84","1.42","449","5","3"
"35","04-04-2020","1","0","1.52","1.71","1.32","484","6","3"
"23","04-05-2020","2","0","1.43","1.61","1.25","507","8","3"
"48","04-06-2020","2","1","1.36","1.52","1.19","555","10","4"
"34","04-07-2020","2","1","1.28","1.44","1.13","589","12","5"
"36","04-08-2020","0","0","1.22","1.36","1.07","625","12","5"
"35","04-09-2020","1","0","1.15","1.29","1.01","660","13","5"
"31","04-10-2020","4","0","1.09","1.22","0.96","691","17","5"
"12","04-11-2020","0","0","1.03","1.16","0.9","703","17","5"
"22","04-12-2020","2","0","0.99","1.11","0.86","725","19","5"
"24","04-13-2020","5","0","0.94","1.06","0.82","749","24","5"
"24","04-14-2020","2","0","0.89","1.01","0.78","773","26","5"
"34","04-15-2020","1","0","0.86","0.97","0.74","807","27","5"
"26","04-16-2020","1","0","0.83","0.95","0.72","833","28","5"
"29","04-17-2020","2","1","0.82","0.93","0.7","862","30","6"
"17","04-18-2020","0","0","0.82","0.94","0.7","879","30","6"
"15","04-19-2020","0","0","0.82","0.94","0.7","894","30","6"
"24","04-20-2020","10","1","0.84","0.96","0.71","918","40","7"
"55","04-21-2020","2","1","0.89","1.02","0.76","973","42","8"
"29","04-22-2020","3","0","0.93","1.07","0.79","1002","45","8"
"44","04-23-2020","1","1","0.98","1.12","0.84","1046","46","9"
"25","04-24-2020","1","0","1.03","1.17","0.88","1071","47","9"
"18","04-25-2020","1","0","1.06","1.21","0.91","1089","48","9"
