Ward,Alderman,website,Email
"
Ward
01
","
Sharon Tyus
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-1,tyuss@stlouis-mo.gov
"
Ward
02
","
Lisa Middlebrook
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-2,middlebrookl@stlouis-mo.gov
"
Ward
03
","
Brandon Bosley
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-3,bosleyb@stlouis-mo.gov
"
Ward
04
","
Dwinderlin Evans
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-4,evansd@stlouis-mo.gov
"
Ward
05
","
James Page
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-5,pagej@stlouis-mo.gov
"
Ward
06
","
Christine Ingrassia
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-6,ingrassiac@stlouis-mo.gov
"
Ward
07
","
Jack Coatar
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-7,coatarj@stlouis-mo.gov
"
Ward
08
","
Annie Rice
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-8,ricea@stlouis-mo.gov
"
Ward
09
","
Dan Guenther
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-9,guentherd@stlouis-mo.gov
"
Ward
10
","
Joseph Vollmer
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-10,vollmerj@stlouis-mo.gov
"
Ward
11
","
James Lappe
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-11,lappej@stlouis-mo.gov
"
Ward
12
","
Bill Stephens
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-12,stephensb@stlouis-mo.gov
"
Ward
13
","
Anne Schweitzer
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-13,schweitzera@stlouis-mo.gov
"
Ward
14
","
Carol Howard
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-14,howardca@stlouis-mo.gov
"
Ward
15
","
Megan E. Green
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-15,greenm@stlouis-mo.gov
"
Ward
16
","
Tom Oldenburg
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-16,oldenburgt@stlouis-mo.gov
"
Ward
17
","
Tina (Sweet-T) Pihl
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-17,pihlt@stlouis-mo.gov
"
Ward
18
","
Jesse Todd
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-18,toddJ@stlouis-mo.gov
"
Ward
19
","
Marlene E Davis
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-19,davisma@stlouis-mo.gov
"
Ward
20
","
Cara Spencer
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-20,spencerc@stlouis-mo.gov
"
Ward
21
","
Ward 21 Vacant
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-21,
"
Ward
22
","
Ward 22 Vacant
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-22,
"
Ward
23
","
Joseph Vaccaro
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-23,vaccaroj@stlouis-mo.gov
"
Ward
24
","
Bret Narayan
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-24,Narayanb@stlouis-mo.gov
"
Ward
25
","
Shane Cohn
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-25,cohns@stlouis-mo.gov
"
Ward
26
","
Shameem Clark Hubbard
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-26,clark-hubbards@stlouis-mo.gov
"
Ward
27
","
Pam Boyd
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-27,boydp@stlouis-mo.gov
"
Ward
28
","
Michael J Gras
",https://www.stlouis-mo.gov/government/departments/aldermen/ward-28,grasm@stlouis-mo.gov
"President
","
Joseph Vollmer
",https://www.stlouis-mo.gov/government/departments/aldermen/president/president.cfm,vollmerj@stlouis-mo.gov
