GEOID,NAME,total_popE,total_popM,unemployedE,unemployedM,unemployment_rate
29510124200,"Census Tract 1242, St. Louis city, Missouri",2536,326,668,194,0.2634069400630915
29510124300,"Census Tract 1243, St. Louis city, Missouri",3043,305,649,142,0.2132763720013145
29510125500,"Census Tract 1255, St. Louis city, Missouri",3881,328,791,177,0.20381345014171606
29510102100,"Census Tract 1021, St. Louis city, Missouri",2300,184,545,107,0.23695652173913043
29510102400,"Census Tract 1024, St. Louis city, Missouri",2086,166,570,152,0.27325023969319273
29510103800,"Census Tract 1038, St. Louis city, Missouri",3269,240,898,131,0.2747017436524931
29510104200,"Census Tract 1042, St. Louis city, Missouri",3000,261,869,218,0.2896666666666667
29510105500,"Census Tract 1055, St. Louis city, Missouri",2265,388,964,215,0.42560706401766
29510106500,"Census Tract 1065, St. Louis city, Missouri",2275,376,1135,265,0.4989010989010989
29510107500,"Census Tract 1075, St. Louis city, Missouri",1730,312,904,220,0.522543352601156
29510108300,"Census Tract 1083, St. Louis city, Missouri",1795,235,607,164,0.3381615598885794
29510111100,"Census Tract 1111, St. Louis city, Missouri",1444,232,573,148,0.39681440443213295
29510111500,"Census Tract 1115, St. Louis city, Missouri",444,117,151,62,0.3400900900900901
29510112100,"Census Tract 1121, St. Louis city, Missouri",3929,333,1315,252,0.33469076100789
29510114300,"Census Tract 1143, St. Louis city, Missouri",4377,321,1040,197,0.2376056659812657
29510115500,"Census Tract 1155, St. Louis city, Missouri",4783,700,1960,576,0.40978465398285596
29510123100,"Census Tract 1231, St. Louis city, Missouri",2821,296,747,162,0.2647997164126196
29510101500,"Census Tract 1015, St. Louis city, Missouri",2601,420,1050,294,0.40369088811995385
29510105300,"Census Tract 1053, St. Louis city, Missouri",1987,222,742,177,0.37342727730246605
29510107600,"Census Tract 1076, St. Louis city, Missouri",1532,287,646,149,0.4216710182767624
29510108100,"Census Tract 1081, St. Louis city, Missouri",2195,226,1010,186,0.4601366742596811
29510109700,"Census Tract 1097, St. Louis city, Missouri",1586,289,668,166,0.42118537200504413
29510110200,"Census Tract 1102, St. Louis city, Missouri",1757,315,812,195,0.46215139442231074
29510112200,"Census Tract 1122, St. Louis city, Missouri",985,167,406,92,0.4121827411167513
29510110300,"Census Tract 1103, St. Louis city, Missouri",1489,261,636,164,0.4271323035594359
29510101400,"Census Tract 1014, St. Louis city, Missouri",2295,303,633,151,0.2758169934640523
29510103100,"Census Tract 1031, St. Louis city, Missouri",2720,193,655,133,0.24080882352941177
29510110500,"Census Tract 1105, St. Louis city, Missouri",760,129,331,93,0.4355263157894737
29510120200,"Census Tract 1202, St. Louis city, Missouri",980,170,503,150,0.513265306122449
29510112300,"Census Tract 1123, St. Louis city, Missouri",1256,209,481,107,0.38296178343949044
29510102200,"Census Tract 1022, St. Louis city, Missouri",5043,269,1363,217,0.27027562958556417
29510108200,"Census Tract 1082, St. Louis city, Missouri",1769,218,930,182,0.5257207461842849
29510109600,"Census Tract 1096, St. Louis city, Missouri",2261,353,970,187,0.42901371074745687
29510111400,"Census Tract 1114, St. Louis city, Missouri",1014,206,491,174,0.48422090729783035
